DATETIME,ENTITY_DESCRIPTION_SHORT,ADJUST_CAPACITY,DOWNTIME,CURRENT_WAIT_TIME,TIME_TO_PARADE_1,TIME_TO_PARADE_2,TIME_TO_NIGHT_SHOW,temp,dew_point,feels_like,pressure,humidity,wind_speed,rain_1h,snow_1h,clouds_all
2022-07-17 19:45:00,Pirate Ship,272.0,0,10,-135.0,,195.0,30.55,10.5075,29.2075,1022.0,29.0,1.8425,0.1532094594594594,1.48,78.0
2021-09-07 10:15:00,Flying Coaster,630.0,0,10,,,,21.4825,12.8825,21.205,1022.0,58.25,3.0275,1.4803571428571427,0.1827889032443296,1.5
2021-11-01 13:15:00,Flying Coaster,756.0,0,45,,,,13.12,9.614999999999998,12.56,1001.75,79.25,5.9075,0.4950000000000001,0.180889678438128,94.75
2022-05-02 19:15:00,Flying Coaster,756.0,0,10,-105.0,,225.0,17.355,8.6325,16.6225,1017.0,56.5,2.6225,0.171875,1.48,94.25
2021-09-15 16:00:00,Flying Coaster,756.0,0,20,,,,20.23,19.4,20.79,1012.0,95.0,4.3,0.13,0.1825050244042492,99.0
2021-07-15 11:30:00,Pirate Ship,250.75,0,30,,,,21.04,16.26,21.145,1018.0,74.5,6.52,0.90225,0.1846475739305196,97.5
2020-02-29 17:15:00,Water Ride,224.5,0,25,-15.0,,225.0,8.3925,5.5025,4.9425,998.0,82.0,6.7925,0.385625,0.2395992182480188,34.5
2021-11-22 12:00:00,Flying Coaster,756.0,0,15,,,,6.92,4.41,2.77,1023.0,84.0,7.66,0.1403478260869565,0.1801679586563307,100.0
2019-03-18 17:30:00,Flying Coaster,579.6,0,5,0.0,,150.0,9.615,1.16,7.81,1022.5,56.0,3.76,0.1110694444444444,0.3543329953650058,90.5
2021-08-22 18:30:00,Flying Coaster,756.0,0,5,,,,21.295,13.35,21.06,1020.5,60.5,3.925,0.1502272727272727,0.1833283089290841,78.5
2019-08-31 20:45:00,Flying Coaster,756.0,0,30,-195.0,,135.0,22.52,14.8525,22.445,1011.75,62.0,5.48,0.112262443438914,0.4063104721900347,95.5
2019-12-31 15:30:00,Pirate Ship,204.0,0,40,30.0,-155.0,160.0,4.380000000000001,2.65,3.25,1032.0,88.5,1.5,0.124076923076923,0.1979122938530734,0.0
2020-08-17 12:45:00,Water Ride,247.0,0,20,,,,20.3375,16.325,20.4575,1011.0,77.75,4.0275,0.2316304347826087,0.3574386913686014,74.25
2021-08-20 16:00:00,Flying Coaster,756.0,0,25,,,,23.26,13.16,23.03,1017.0,53.0,1.01,0.2816326530612245,0.1834008039046798,94.0
2021-09-05 14:45:00,Water Ride,247.0,0,30,,,,27.55,13.76,27.455,1018.25,42.75,1.845,0.519532967032967,0.1828513494114269,44.25
2020-08-02 18:00:00,Pirate Ship,255.0,0,20,,,,23.99,11.0,23.59,1016.0,44.0,3.97,0.7118181818181817,0.3471814092953523,96.0
2019-12-24 14:15:00,Water Ride,224.5,0,25,165.0,-135.0,465.0,12.155,7.96,11.3975,1015.25,75.5,6.8375,0.2788888888888888,0.1930185799957164,78.25
2020-02-26 16:15:00,Pirate Ship,278.517,0,35,45.0,,225.0,6.3625,2.54,2.23,1010.0,76.5,7.0925,0.4325,0.2374884878989077,45.25
2020-01-14 15:45:00,Pirate Ship,153.0,0,30,45.0,,165.0,11.215,7.407500000000001,10.4175,1010.75,77.5,8.645,0.215,0.2076346648104519,100.0
2021-08-16 14:30:00,Pirate Ship,280.5,0,30,,,,19.645,14.115,19.505000000000003,1018.0,70.5,5.915,0.1628571428571428,0.1835407694516221,89.0
2018-10-07 11:30:00,Flying Coaster,756.0,0,25,360.0,40.0,570.0,12.925,11.045,12.58,1016.5,88.5,3.5,0.2063372093023255,,84.0
2019-12-18 11:15:00,Pirate Ship,153.0,0,45,285.0,-15.0,405.0,7.015000000000001,6.4925,4.065,1016.0,96.5,4.5425,0.294054054054054,0.1887682051831227,72.5
2022-02-23 13:15:00,Pirate Ship,298.35,0,35,,,,10.3775,7.685,9.6525,1026.75,83.5,3.9825,0.1391935483870967,0.129470675027665,77.5
2021-08-20 10:45:00,Flying Coaster,756.0,0,5,,,,17.692500000000003,12.0175,17.335,1018.0,69.5,1.1425,0.2462755102040816,0.1834083405110536,71.25
2021-11-10 13:45:00,Flying Coaster,756.0,0,15,,,,9.185,7.9575,9.185,1025.0,92.0,1.1575,0.1681818181818181,0.1805788831467126,48.25
2019-05-27 14:15:00,Water Ride,202.0,0,20,195.0,,525.0,19.185,11.4875,18.755000000000003,1012.0,61.0,3.63,0.1665277777777778,0.3761909762456547,72.5
2022-03-18 13:30:00,Pirate Ship,153.0,0,45,,,,13.075,0.7849999999999999,11.56,1037.5,43.0,6.199999999999999,0.4806741573033708,0.1172482478790114,16.0
2022-03-30 16:30:00,Pirate Ship,153.0,0,45,,,,13.245,9.015,12.595,1000.5,75.5,0.47,2.3,0.1108078199926226,71.5
2022-05-14 10:15:00,Flying Coaster,756.0,0,5,435.0,,765.0,16.73,10.0325,16.1475,1023.0,64.75,1.3475,0.1936675126903553,1.48,60.0
2022-07-23 20:00:00,Flying Coaster,756.0,0,5,-150.0,,180.0,26.37,17.72,26.37,1019.0,59.0,1.94,0.2883928571428571,1.48,89.0
2021-07-01 17:45:00,Flying Coaster,756.0,0,30,,,,21.92,15.8075,21.95,1018.0,68.25,3.1025,0.129625,0.1851209445879988,43.25
2020-03-01 11:15:00,Water Ride,247.0,0,30,345.0,,525.0,8.385,6.0975,5.23,997.0,85.5,5.895,0.1775,0.2401196723067037,100.0
2021-11-04 12:45:00,Water Ride,247.0,0,20,,,,9.63,8.4675,7.6025,1011.0,92.5,3.8825,0.1375,0.180787037037037,96.25
2021-09-17 09:45:00,Pirate Ship,107.1,0,5,,,,15.1425,12.9425,14.9775,1017.0,86.75,1.255,0.2043589743589743,0.1824450904392764,1.0
2021-12-01 17:00:00,Flying Coaster,747.6,0,10,,,,8.0,6.62,5.04,1001.0,91.0,5.12,0.646,0.2209859154929577,42.0
2021-12-30 14:00:00,Water Ride,247.0,0,45,,,,14.29,13.17,14.2,1021.0,93.0,4.9,0.1478378378378378,0.1586683880486905,71.0
2019-07-29 16:15:00,Water Ride,247.0,0,40,75.0,,405.0,27.1725,12.5975,27.02,1010.0,40.5,2.9275,0.1218478260869565,0.3959273609501738,0.0
2021-10-30 16:45:00,Pirate Ship,301.75,0,40,,,,14.0675,13.4375,14.035,1001.75,96.0,4.74,0.2165,0.1809535601492966,97.5
2022-03-11 16:30:00,Flying Coaster,756.0,0,5,,,,11.135000000000002,8.61,10.51,1009.5,84.5,5.255,0.765,0.1209000368867576,100.0
2020-09-20 13:30:00,Flying Coaster,756.0,0,25,,,,25.425,17.310000000000002,25.555,1015.0,61.0,1.3250000000000002,0.6360309278350516,0.3810542942814307,53.0
2022-02-21 09:15:00,Pirate Ship,30.6,0,0,,,,5.8325,3.3375,1.4899999999999998,1013.0,84.0,7.265,0.3025,0.1306215418664699,38.75
2022-01-30 15:45:00,Pirate Ship,225.25,0,30,,,,9.1325,3.8525,8.335,1030.25,69.5,1.835,0.1181944444444444,0.1421634083364072,78.0
2021-12-15 09:30:00,Pirate Ship,15.3,0,5,,,,6.175000000000001,6.025,5.640000000000001,1033.5,99.0,1.49,0.5028880866425993,0.1667355219476208,87.5
2021-08-01 18:15:00,Pirate Ship,280.5,0,25,,,,21.95,15.0525,21.8975,1012.0,65.0,3.0925,0.1891666666666666,0.1840521820269882,57.25
2021-07-26 15:15:00,Flying Coaster,756.0,0,10,,,,21.3525,19.9,21.93,1013.0,91.5,3.9275,0.101875,0.184263207005455,98.75
2019-10-17 12:45:00,Flying Coaster,756.0,0,15,285.0,-15.0,435.0,13.1225,12.5025,13.0,1011.25,96.0,3.675,1.11,0.420910703939745,98.25
2020-07-20 14:30:00,Water Ride,104.767,8,25,,,,24.33,14.715,24.255,1019.0,55.0,4.535,0.1553051643192488,0.3380590062111801,46.0
2021-09-14 15:30:00,Water Ride,161.6,3,15,,,,24.685,19.18,25.075,1012.0,71.5,4.21,0.47,0.1825401952339936,98.0
2020-01-07 13:00:00,Flying Coaster,756.0,0,25,210.0,,300.0,7.75,7.15,5.3,1030.0,96.0,3.88,0.2646902654867256,0.2026975797815378,97.0
2021-10-05 14:15:00,Pirate Ship,153.0,0,10,,,,15.2725,13.07,15.14,1006.25,87.5,5.79,1.0,0.1818184754521963,61.5
2022-08-01 11:00:00,Pirate Ship,301.75,0,20,390.0,,720.0,21.98,17.56,22.22,1019.0,76.0,2.65,0.3121917808219178,1.48,100.0
2021-08-27 16:30:00,Water Ride,247.0,0,30,,,,21.175,10.795,20.695,1019.5,51.5,4.109999999999999,0.1241304347826087,0.1831589147286821,98.0
2021-12-08 15:45:00,Water Ride,49.4,12,35,,,,6.785,4.0600000000000005,3.985,1000.0,82.75,4.15,0.17375,0.1740140845070422,46.5
2019-02-05 15:00:00,Flying Coaster,756.0,0,10,120.0,,240.0,7.36,-2.34,6.15,1028.0,49.0,1.96,0.478,0.3414730590961761,96.0
2018-12-06 15:45:00,Flying Coaster,756.0,0,10,75.0,-235.0,195.0,13.010000000000002,11.58,12.745,1021.0,91.0,3.8225,0.193125,0.2378187086092715,100.0
2022-06-24 16:15:00,Water Ride,247.0,0,30,75.0,,405.0,22.555,16.7475,22.685,1008.0,69.75,6.0375,0.160625,1.48,60.0
2019-10-08 16:30:00,Flying Coaster,756.0,0,5,60.0,-240.0,210.0,13.855,12.82,13.735,1011.0,93.5,2.58,1.105,0.4181438296639629,97.5
2021-10-10 18:15:00,Water Ride,224.5,0,20,,,,15.485,11.61,15.1175,1026.25,77.75,2.5325,1.0,0.1816404679873672,6.75
2021-08-22 18:30:00,Water Ride,247.0,0,30,,,,21.295,13.35,21.06,1020.5,60.5,3.925,0.1502272727272727,0.1833283089290841,78.5
2020-02-09 16:30:00,Water Ride,247.0,0,30,30.0,,150.0,11.48,8.875,10.88,1007.5,84.0,12.195,0.56,0.2256987577639751,100.0
2022-06-24 19:30:00,Flying Coaster,756.0,0,10,-120.0,,210.0,21.615,16.775,21.76,1008.0,74.0,5.405,0.1379166666666667,1.48,58.5
2022-01-09 18:00:00,Pirate Ship,221.0,0,30,,,,3.87,3.44,1.76,1008.0,97.0,2.29,0.2022619047619047,0.1532681667281446,99.0
2022-03-18 17:00:00,Flying Coaster,756.0,0,20,,,,14.75,-2.74,13.04,1036.0,29.0,6.65,0.5003370786516854,0.117170785687938,0.0
2021-08-23 14:15:00,Flying Coaster,756.0,0,25,,,,19.692500000000003,15.24,19.69,1023.0,75.5,3.9075,0.32125,0.1832999569336778,97.25
2022-05-28 14:30:00,Flying Coaster,756.0,0,50,180.0,,510.0,19.45,9.61,18.83,1021.5,53.0,3.19,0.1855172413793103,1.48,94.5
2018-10-21 18:00:00,Flying Coaster,756.0,0,35,-30.0,-350.0,240.0,16.76,6.0,15.77,1025.0,49.0,2.7,0.1900632911392405,,0.0
2021-10-26 13:00:00,Pirate Ship,306.0,0,30,,,,13.02,12.56,12.91,1025.0,97.0,4.0,0.396,0.181096755670399,95.0
2021-12-01 10:45:00,Pirate Ship,153.0,0,30,,,,9.88,9.4675,8.715,1000.25,97.25,7.875,0.5975,0.2227464788732394,78.75
2021-12-19 10:30:00,Pirate Ship,306.0,0,25,,,,3.87,3.58,0.885,1033.0,98.0,3.4,0.7410108303249097,0.1645887126521578,100.0
2020-08-04 13:15:00,Water Ride,247.0,0,20,,,,22.3775,9.19,21.7925,1018.75,43.0,2.17,0.2417013888888889,0.3484319447419147,16.75
2021-10-18 14:00:00,Flying Coaster,756.0,0,35,,,,16.44,13.17,16.25,1021.0,81.0,3.85,1.0,0.1813709445879988,100.0
2022-08-16 20:45:00,Flying Coaster,756.0,0,5,-195.0,,135.0,18.9025,7.0425,18.0525,1008.0,46.0,2.67,1.77,1.48,100.0
2019-04-02 10:15:00,Water Ride,247.0,0,5,435.0,,705.0,11.795,8.135,11.075,1008.75,78.25,4.93,0.2188541666666666,0.3589314165701043,48.75
2019-01-27 11:45:00,Water Ride,247.0,0,30,285.0,,435.0,6.99,2.8200000000000003,3.0125,990.75,74.75,7.1775,0.38,0.1702293577981651,86.25
2020-10-17 12:30:00,Pirate Ship,276.25,0,25,,,,10.93,8.93,10.364999999999998,1021.0,87.5,2.7350000000000003,0.2264545454545454,0.3997617262797173,86.5
2022-06-04 17:30:00,Flying Coaster,756.0,0,30,0.0,,330.0,25.52,18.16,25.685,1016.0,64.0,2.24,0.4131818181818181,1.48,100.0
2020-02-11 16:15:00,Flying Coaster,756.0,0,20,45.0,,165.0,6.685,3.3975,2.375,1016.25,79.5,7.959999999999999,0.1395454545454545,0.2270794067252088,71.75
2019-11-04 15:30:00,Flying Coaster,756.0,0,5,120.0,,210.0,13.305,10.39,12.845,989.5,82.5,7.21,1.842608695652174,0.4265780706836616,47.5
2019-01-28 12:30:00,Flying Coaster,756.0,0,5,240.0,,360.0,4.735,-3.2350000000000003,0.22,1004.5,54.5,6.87,0.1133720930232558,0.1929357798165137,98.5
2022-05-25 15:45:00,Flying Coaster,756.0,0,35,105.0,,435.0,20.012500000000003,10.5675,19.495,1019.0,54.5,5.295,0.1325862068965517,1.48,93.25
2019-05-16 10:00:00,Water Ride,247.0,0,5,450.0,,750.0,12.43,3.39,11.14,1018.0,54.0,3.3,0.1063414634146341,0.372694090382387,19.0
2020-08-14 12:15:00,Pirate Ship,153.0,0,40,,,,22.6375,17.635,22.875,1015.0,73.5,2.79,0.39296875,0.355342418076676,88.0
2022-03-03 15:45:00,Pirate Ship,304.867,0,35,,,,11.2125,8.6125,10.585,1015.25,84.0,1.1700000000000002,0.5730848623853211,0.125165990409443,68.25
2019-10-13 17:15:00,Water Ride,230.533,1,30,15.0,-285.0,225.0,23.71,16.2275,23.7825,1009.0,63.0,5.8625,0.1595833333333333,0.4197179171494785,41.75
2020-08-06 09:30:00,Flying Coaster,756.0,0,5,,,,22.44,12.83,22.175,1018.0,55.0,1.845,0.5674305555555555,0.3497113943028486,84.5
2021-10-16 15:00:00,Pirate Ship,306.0,0,35,,,,16.64,9.09,15.95,1021.0,61.0,1.11,1.0,0.1814384151593454,1.0
2018-10-06 12:30:00,Water Ride,224.5,0,35,300.0,-20.0,570.0,20.09,12.205,19.735,1009.5,60.5,4.1,0.1426506024096385,,0.0
2021-12-08 11:45:00,Flying Coaster,756.0,0,25,,,,5.7,2.9975,2.7875,999.0,83.0,3.885,0.125625,0.1751408450704225,100.0
2022-06-07 14:00:00,Flying Coaster,756.0,0,45,210.0,,540.0,20.33,14.9,20.27,1014.0,71.0,5.25,0.138,1.48,49.0
2022-03-27 14:30:00,Water Ride,247.0,0,30,,,,19.535,5.57,18.585,1027.0,40.0,3.325,0.440495283018868,0.1124455920324603,0.0
2021-10-11 14:45:00,Pirate Ship,301.75,0,20,,,,15.7125,9.77,15.11,1029.0,67.75,4.165,1.0,0.1816110393339075,93.0
2020-02-24 16:00:00,Pirate Ship,280.5,0,40,60.0,,240.0,12.08,9.64,11.56,1015.0,85.0,8.1,0.3636,0.2360933818804883,97.0
2018-12-12 13:30:00,Flying Coaster,756.0,0,15,210.0,-100.0,390.0,3.23,0.285,0.0999999999999999,1022.5,81.0,3.375,0.7031102362204724,0.2260844370860927,1.0
2019-10-14 11:15:00,Flying Coaster,756.0,0,15,375.0,75.0,525.0,19.4525,14.74,19.39,1008.75,74.25,5.16,0.8848863636363636,0.4199525637311703,31.25
2021-08-19 18:45:00,Pirate Ship,293.25,0,35,,,,18.96,13.6975,18.775,1016.0,71.5,2.3600000000000003,0.1385204081632653,0.1834313092161929,100.0
2021-10-12 16:15:00,Water Ride,247.0,0,40,,,,14.92,10.8775,14.475,1022.75,76.75,3.08,1.0,0.1815744329600918,94.25
2019-03-07 15:00:00,Flying Coaster,756.0,0,40,120.0,,270.0,10.74,1.02,9.2,1004.0,51.0,8.68,0.208,0.3508589223638471,46.0
2021-10-15 14:00:00,Flying Coaster,756.0,0,15,,,,15.89,10.65,15.39,1020.0,71.0,0.76,1.0,0.1814743037611254,95.0
2019-10-13 13:00:00,Water Ride,247.0,0,20,270.0,-30.0,480.0,23.83,15.86,23.86,1008.0,61.0,5.79,0.221923076923077,0.4196625144843569,3.0
2021-09-14 13:15:00,Water Ride,224.5,0,20,,,,21.735,18.025,22.04,1012.75,79.5,4.56,0.254,0.1825434252081539,94.5
2018-12-11 16:00:00,Flying Coaster,756.0,0,20,60.0,-250.0,240.0,7.56,6.81,7.56,1025.0,95.0,1.03,0.4407086614173228,0.227864238410596,99.0
2019-04-09 17:15:00,Flying Coaster,756.0,0,25,15.0,,285.0,13.2325,5.15,12.1275,1009.0,58.0,3.1325,0.1125,0.3612127027809965,54.75
2019-07-30 18:00:00,Water Ride,247.0,0,15,-30.0,,300.0,23.16,13.06,22.92,1013.0,53.0,6.85,0.1330434782608695,0.3962630359212051,36.0
2022-04-14 10:45:00,Pirate Ship,153.0,0,45,405.0,,735.0,15.5525,12.5175,15.32,1022.0,82.5,1.5475,0.2381249999999999,1.48,25.75
2021-08-25 10:30:00,Water Ride,247.0,0,25,,,,17.935000000000002,11.585,17.52,1022.0,66.5,4.59,0.13,0.1832364341085271,69.0
2022-05-03 13:30:00,Water Ride,247.0,0,35,240.0,,570.0,17.7,8.145,16.925,1017.0,53.5,4.505,0.17005,1.48,55.0
2019-02-15 11:15:00,Flying Coaster,756.0,0,20,345.0,,465.0,8.67,-0.97,7.3875,1030.0,50.25,2.3125,0.2857065217391304,0.3445527954808807,0.0
2022-06-24 14:00:00,Water Ride,247.0,0,30,210.0,,540.0,22.1,17.88,22.38,1007.0,77.0,4.48,0.2225,1.48,73.0
2019-04-11 16:00:00,Water Ride,247.0,0,30,90.0,,360.0,13.19,-0.4,11.58,1020.0,39.0,5.48,0.127037037037037,0.3618221320973349,3.0
2019-03-25 12:00:00,Water Ride,247.0,0,35,330.0,,480.0,10.6,0.34,9.0,1029.0,49.0,5.87,0.1607222222222222,0.3564513325608343,58.0
2019-03-14 15:30:00,Flying Coaster,756.0,0,10,90.0,,240.0,9.75,6.825,6.025,1009.0,82.0,9.345,0.595,0.3530554750869061,100.0
2020-07-26 15:00:00,Pirate Ship,238.0,0,35,,,,24.37,12.34,24.09,1015.0,47.0,4.52,0.1445454545454545,0.3422370957378454,99.0
2019-05-20 13:30:00,Water Ride,247.0,0,20,240.0,,570.0,16.645,13.275,16.465,1011.0,80.5,4.395,0.161551724137931,0.3739911645422943,99.0
2018-11-27 13:30:00,Flying Coaster,756.0,0,15,210.0,-100.0,330.0,8.395,5.5,6.355,1020.0,82.0,3.38,0.2002,0.255885761589404,86.5
2020-02-07 15:15:00,Flying Coaster,756.0,0,10,105.0,,225.0,10.66,4.3625,9.4825,1021.0,65.0,3.835,0.2163402061855669,0.2242747376311844,22.25
2022-01-02 17:45:00,Water Ride,247.0,0,30,,,,12.8225,11.2225,12.5125,1017.75,90.0,7.425,0.256875,0.1569918849133161,98.5
2022-07-09 19:00:00,Pirate Ship,306.0,0,15,-90.0,,240.0,28.09,13.61,27.81,1025.0,41.0,5.04,0.1271621621621621,1.48,1.0
2022-05-14 16:15:00,Pirate Ship,306.0,0,40,75.0,,405.0,22.887500000000003,11.3075,22.4825,1020.0,48.0,1.2225,0.1805710659898476,1.48,89.75
2018-11-16 14:45:00,Flying Coaster,756.0,0,30,135.0,-175.0,255.0,5.9,5.385,3.925,1025.25,96.5,2.5475,0.1650443786982248,,100.0
2022-01-08 13:15:00,Pirate Ship,306.0,0,25,,,,6.93,6.64,3.025,1010.5,98.0,6.915,0.7175,0.1539044632976761,100.0
2019-05-25 12:00:00,Water Ride,247.0,0,30,330.0,,660.0,20.21,14.57,20.11,1019.0,70.0,1.92,0.5497894736842105,0.3755359212050985,52.0
2022-04-26 14:15:00,Pirate Ship,153.0,0,55,195.0,,525.0,14.0925,8.0025,13.2975,1019.75,66.75,3.2875,0.1466935483870967,1.48,99.25
2020-09-15 11:15:00,Water Ride,247.0,0,10,,,,25.8775,14.5325,25.795,1019.75,49.75,2.5075,0.2049324324324324,0.3775195437995288,35.25
2022-01-08 19:45:00,Flying Coaster,630.0,0,10,,,,7.8825,7.319999999999999,3.6375,996.5,96.25,9.0525,0.9375,0.1537606049428255,97.75
2021-08-06 18:15:00,Water Ride,247.0,0,30,,,,21.775,16.0675,21.835,1006.0,70.0,5.72,0.134,0.1838799167384438,92.75
2018-10-14 11:15:00,Pirate Ship,264.633,0,25,375.0,55.0,585.0,20.53,10.4625,20.01,1007.0,52.5,6.5975,0.339375,,15.5
2022-06-30 16:15:00,Water Ride,247.0,0,30,75.0,,405.0,14.86,14.0675,14.88,1015.0,95.0,1.2775,0.6825,1.48,92.75
2022-05-25 10:30:00,Flying Coaster,756.0,0,5,420.0,,750.0,15.724999999999998,11.31,15.31,1018.5,75.0,3.27,0.1362068965517241,1.48,51.0
2020-01-29 12:45:00,Water Ride,247.0,0,15,225.0,,345.0,8.6,5.3875,5.445,1015.0,80.25,6.0525,0.2076724137931034,0.2179570036410366,98.5
2020-02-08 14:15:00,Flying Coaster,756.0,0,25,165.0,,345.0,10.565,7.4025,9.7875,1021.0,80.75,3.685,0.1546907216494845,0.2249397622617263,99.25
2022-07-15 15:00:00,Water Ride,181.133,4,45,150.0,,480.0,25.64,9.05,25.17,1022.0,35.0,3.5,0.1460810810810811,1.48,0.0
2022-06-10 13:45:00,Flying Coaster,756.0,0,50,225.0,,555.0,22.5725,16.26,22.6475,1023.0,67.5,4.48,0.13574,1.48,92.5
2019-12-14 14:00:00,Pirate Ship,267.75,0,40,180.0,-120.0,480.0,9.34,7.12,6.11,1001.0,86.0,6.93,0.16,0.186071964017991,69.0
2022-07-13 10:00:00,Flying Coaster,714.0,0,15,450.0,,780.0,25.17,16.05,25.23,1022.0,57.0,1.75,0.1389189189189189,1.48,89.0
2020-01-29 12:45:00,Flying Coaster,756.0,0,5,225.0,,345.0,8.6,5.3875,5.445,1015.0,80.25,6.0525,0.2076724137931034,0.2179570036410366,98.5
2020-08-01 16:30:00,Water Ride,247.0,0,25,,,,27.245,17.564999999999998,28.045,1016.5,55.5,3.685,1.639090909090909,0.346444099378882,83.5
2022-06-17 18:00:00,Water Ride,247.0,0,30,-30.0,,300.0,33.16,14.26,32.51,1021.0,32.0,1.0,0.31488,1.48,97.0
2019-02-25 10:15:00,Flying Coaster,630.0,0,15,405.0,,555.0,10.035,-5.15,8.195,1036.0,32.25,3.395,0.1572697368421052,0.3476683806488992,0.0
2021-12-09 13:15:00,Pirate Ship,207.117,0,30,,,,5.755000000000001,4.1625,2.7325,1008.0,89.5,4.0975,0.2125,0.1698395426042051,49.25
2020-10-05 12:15:00,Pirate Ship,51.5667,0,5,,,,12.3175,11.697500000000002,12.1125,1002.0,96.0,4.8075,0.5075,0.3914272328121654,100.0
2021-09-04 17:45:00,Flying Coaster,756.0,0,15,,,,25.9,16.384999999999998,25.9175,1014.25,55.75,1.2525,0.6344174757281553,0.1828814958369222,34.5
